	subB_score	subB_GMM	subB_otsu_call
GSM6590931	0.43057122335621295	1	1
GSM6590932	0.7102326741759004	1	1
GSM6590933	0.4534564523606602	1	1
GSM6590934	0.6577703693354037	1	1
GSM6590935	1.0813290767650703	1	1
GSM6590936	0.9378340645696059	1	1
GSM6590937	1.312896086166996	1	1
GSM6590938	-0.2776073348662581	0	0
GSM6590939	0.41347160176300524	1	1
GSM6590940	0.805702869411595	1	1
GSM6590941	0.9998540861973788	1	1
GSM6590942	0.6090799322750948	1	1
GSM6590943	0.8473681984312881	1	1
GSM6590944	1.3707516353503415	1	1
GSM6590945	1.4234934409183881	1	1
GSM6590946	-0.607994255791262	0	0
GSM6590947	1.3309778524870535	1	1
GSM6590948	1.1233899175388462	1	1
GSM6590949	0.9986380337258711	1	1
GSM6590950	0.9507533286611831	1	1
GSM6590951	1.2952856550958198	1	1
GSM6590952	1.4297864805423282	1	1
GSM6590953	0.7702952532741818	1	1
GSM6590954	1.138501044282298	1	1
GSM6590955	1.1258820719162799	1	1
GSM6590956	1.1177068383036142	1	1
GSM6590957	-0.025532943565406696	0	0
GSM6590958	-1.2113832996032021	0	0
GSM6590959	0.8674434370750295	1	1
GSM6590960	0.789632460695549	1	1
GSM6590961	0.9877146082168962	1	1
GSM6590962	1.225996088711435	1	1
GSM6590963	1.2549712312179853	1	1
GSM6590964	0.1873103618181976	0	1
GSM6590965	1.2491598152577619	1	1
GSM6590966	0.7833487426461532	1	1
GSM6590967	0.7152478992082627	1	1
GSM6590968	0.8091594489751516	1	1
GSM6590969	0.7971937779437464	1	1
GSM6590970	0.8446177311644361	1	1
GSM6590971	0.27364400292856417	0	1
GSM6590972	0.46207165766759367	1	1
GSM6590973	-0.4308796867663305	0	0
GSM6590974	1.1870404331204882	1	1
GSM6590975	1.003872693464636	1	1
GSM6590976	0.4583661861177267	1	1
GSM6590977	1.3247634835526405	1	1
GSM6590978	0.7865504952377623	1	1
GSM6590979	1.0508647783784766	1	1
GSM6590980	0.6154803312452675	1	1
GSM6590981	0.8818163124342144	1	1
GSM6590982	1.1070639446957844	1	1
GSM6590983	1.2762853955342013	1	1
GSM6590984	0.7845173288857749	1	1
GSM6590985	0.6574640730419282	1	1
GSM6590986	0.8029674802967313	1	1
GSM6590987	0.09913456383882141	0	1
GSM6590988	0.7726289147146108	1	1
GSM6590989	0.7738961279456474	1	1
GSM6590990	0.900920139453655	1	1
GSM6590991	0.7461553447849696	1	1
GSM6590992	0.49638936124997207	1	1
GSM6590993	0.8167052145060326	1	1
GSM6590994	0.9845981550871061	1	1
GSM6590995	0.4509418027601523	1	1
GSM6590996	0.8180872922124753	1	1
GSM6590997	-1.2980722864885144	0	0
GSM6590998	-1.8745180282264293	0	0
GSM6590999	-1.1577830017781245	0	0
GSM6591000	-1.5867968178998648	0	0
GSM6591001	-0.6506676625972991	0	0
